team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Air Force,5,14.1,17.8,3.7,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,Mountain West
Akron,5,-17.5,-23.8,-6.3,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,Mid-American
Alabama,4,23.38,25.75,2.38,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,SEC
Appalachian State,5,10.8,15.2,4.4,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,Sun Belt
Arizona,4,-3.75,-14,-10.25,#002449,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,Pac-12
Arizona State,5,18.6,17,-1.6,#942139,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,Pac-12
Arkansas,5,3.1,9.6,6.5,#9c1831,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,SEC
Arkansas State,6,-7.67,-16.67,-9,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,Sun Belt
Army,5,11.1,13.6,2.5,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,FBS Independents
Auburn,5,21.4,23.8,2.4,#03244d,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,SEC
Ball State,5,-2.5,-10.4,-7.9,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,Mid-American
Baylor,5,12.8,19.2,6.4,#004834,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Big 12
Boise State,5,7,9.8,2.8,#09347A,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,Mountain West
Boston College,5,16.6,18.8,2.2,#88001a,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,ACC
Bowling Green,5,-20.2,-4.2,16,#2b1000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,Mid-American
Buffalo,5,4.4,5.6,1.2,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,Mid-American
BYU,5,7,9.8,2.8,#001E4C,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,FBS Independents
California,5,3.2,-3.4,-6.6,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,Pac-12
Central Michigan,5,3.5,0,-3.5,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,Mid-American
Charlotte,4,-4.75,-3.75,1,#cfab7a,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,Conference USA
Cincinnati,4,16.25,23.75,7.5,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,American Athletic
Clemson,5,21.1,9,-12.1,#F66733,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,ACC
Coastal Carolina,6,27.33,33.83,6.5,#007073,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Sun Belt
Colorado,5,0,-10,-10,#d1c57e,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,Pac-12
Colorado State,4,-7.25,-4,3.25,#004537,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,Mountain West
Connecticut,6,-23.33,-23.17,0.17,#001d40,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,American Athletic
Duke,5,4.7,4,-0.7,#001A57,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,ACC
East Carolina,5,0,2.6,2.6,#4b1869,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,American Athletic
Eastern Michigan,5,7.2,7.6,0.4,#00331b,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,Mid-American
Florida,5,12.9,11.6,-1.3,#0021A5,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,SEC
Florida Atlantic,5,4.3,11,6.7,#004B85,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,Conference USA
Florida International,4,-10.25,-20,-9.75,#001538,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,Conference USA
Florida State,5,4.5,-6.4,-10.9,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,ACC
Fresno State,6,11.67,16.5,4.83,#c41230,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,Mountain West
Georgia,5,20.8,36.4,15.6,#CC0000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,SEC
Georgia Southern,4,-10.62,-12.25,-1.62,#003775,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,Sun Belt
Georgia State,5,-11.3,-20.6,-9.3,#1e539a,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,Sun Belt
Georgia Tech,4,-6.5,-3.75,2.75,#00223e,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,ACC
Hawai'i,5,-6,-6.6,-0.6,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,Mountain West
Houston,6,12.33,21,8.67,#C90822,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,American Athletic
Illinois,6,-3.25,-4,-0.75,#f77329,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Big Ten
Indiana,4,-2.62,-16,-13.38,#7D110C,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,Big Ten
Iowa,5,9.7,21.6,11.9,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,Big Ten
Iowa State,5,21.2,18.2,-3,#660015,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,Big 12
Kansas,5,-16.7,-26.6,-9.9,#0022B4,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Big 12
Kansas State,5,0,5.8,5.8,#633194,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Big 12
