Team,Games Played,Avg. Expected Margin of Victory,Avg. Actual Margin of Victory,Avg. Performance vs. Spread,Conference
Bowling Green,5,-20.2,-4.2,16,Mid-American
Georgia,5,20.8,36.4,15.6,SEC
Michigan,5,13.7,27,13.3,Big Ten
Pittsburgh,5,17.5,29.8,12.3,ACC
Iowa,5,9.7,21.6,11.9,Big Ten
Michigan State,5,6.5,17.2,10.7,Big Ten
Texas,5,10.7,19.8,9.1,Big 12
Tennessee,5,10,19,9,SEC
Nebraska,6,7.92,16.83,8.92,Big Ten
Louisiana Tech,5,-5.4,3.4,8.8,Conference USA
Houston,6,12.33,21,8.67,American Athletic
Oregon State,4,-1.12,7.5,8.62,Pac-12
Syracuse,5,1,9.6,8.6,ACC
Rutgers,5,0.2,8.6,8.4,Big Ten
Middle Tennessee,5,-7.2,0.6,7.8,Conference USA
Cincinnati,4,16.25,23.75,7.5,American Athletic
Ole Miss,4,11.25,18.75,7.5,SEC
Western Michigan,5,-1.8,5,6.8,Mid-American
Florida Atlantic,5,4.3,11,6.7,Conference USA
San Diego State,4,11.12,17.75,6.62,Mountain West
Arkansas,5,3.1,9.6,6.5,SEC
Coastal Carolina,6,27.33,33.83,6.5,Sun Belt
Baylor,5,12.8,19.2,6.4,Big 12
Stanford,5,-4.1,2.2,6.3,Pac-12
UNLV,5,-24,-17.8,6.2,Mountain West
Utah State,5,-7.4,-1.4,6,Mountain West
Kansas State,5,0,5.8,5.8,Big 12
Liberty,5,13.8,19.6,5.8,FBS Independents
Old Dominion,5,-11.4,-5.6,5.8,Conference USA
NC State,5,11,16.4,5.4,ACC
Penn State,5,12.6,18,5.4,Big Ten
SMU,5,15.4,20.8,5.4,American Athletic
Fresno State,6,11.67,16.5,4.83,Mountain West
New Mexico State,6,-16.5,-12,4.5,FBS Independents
Appalachian State,5,10.8,15.2,4.4,Sun Belt
UT San Antonio,5,12.7,17,4.3,Conference USA
South Carolina,5,0.9,5,4.1,SEC
Air Force,5,14.1,17.8,3.7,Mountain West
Wake Forest,5,16.7,20.2,3.5,ACC
Louisiana Monroe,4,-20.88,-17.5,3.38,Sun Belt
Colorado State,4,-7.25,-4,3.25,Mountain West
UTEP,4,-3.12,0,3.12,Conference USA
Louisville,5,1.1,4,2.9,ACC
Boise State,5,7,9.8,2.8,Mountain West
BYU,5,7,9.8,2.8,FBS Independents
Georgia Tech,4,-6.5,-3.75,2.75,ACC
Notre Dame,5,4.7,7.4,2.7,FBS Independents
East Carolina,5,0,2.6,2.6,American Athletic
Army,5,11.1,13.6,2.5,FBS Independents
Auburn,5,21.4,23.8,2.4,SEC
Alabama,4,23.38,25.75,2.38,SEC
Boston College,5,16.6,18.8,2.2,ACC
Miami (OH),4,-12.62,-10.5,2.12,Mid-American
Oklahoma State,4,4.62,6.75,2.12,Big 12
Kent State,5,-5.7,-3.6,2.1,Mid-American
South Alabama,4,6.5,8,1.5,Sun Belt
Western Kentucky,3,-8.67,-7.33,1.33,Conference USA
Buffalo,5,4.4,5.6,1.2,Mid-American
Marshall,5,11.8,13,1.2,Conference USA
Northern Illinois,5,-6.1,-5,1.1,Mid-American
Charlotte,4,-4.75,-3.75,1,Conference USA
Nevada,4,7.5,8.25,0.75,Mountain West
Eastern Michigan,5,7.2,7.6,0.4,Mid-American
Ohio State,5,23.4,23.8,0.4,Big Ten
Connecticut,6,-23.33,-23.17,0.17,American Athletic
UCLA,5,6.7,6.8,0.1,Pac-12
Mississippi State,5,2.8,2.8,0,SEC
Virginia,5,6.7,6.6,-0.1,ACC
West Virginia,4,-1.38,-1.5,-0.12,Big 12
Toledo,5,13.8,13.6,-0.2,Mid-American
UMass,5,-32.3,-32.6,-0.3,FBS Independents
Hawai'i,5,-6,-6.6,-0.6,Mountain West
Duke,5,4.7,4,-0.7,ACC
Illinois,6,-3.25,-4,-0.75,Big Ten
Florida,5,12.9,11.6,-1.3,SEC
Minnesota,5,6.1,4.8,-1.3,Big Ten
Purdue,5,9.5,8.2,-1.3,Big Ten
Kentucky,5,13.4,12,-1.4,SEC
Arizona State,5,18.6,17,-1.6,Pac-12
Maryland,5,12.6,11,-1.6,Big Ten
UAB,5,1.4,-0.2,-1.6,Conference USA
Georgia Southern,4,-10.62,-12.25,-1.62,Sun Belt
South Florida,5,-13.9,-15.6,-1.7,American Athletic
Texas Tech,5,6.6,4.8,-1.8,Big 12
North Carolina,5,14.6,12.6,-2,ACC
Virginia Tech,4,10.38,8.25,-2.12,ACC
Memphis,5,7.7,5.2,-2.5,American Athletic
Washington,5,7.7,5.2,-2.5,Pac-12
USC,5,11.7,9,-2.7,Pac-12
Oregon,5,16.9,14,-2.9,Pac-12
Iowa State,5,21.2,18.2,-3,Big 12
Troy,5,10,6.8,-3.2,Sun Belt
Southern Mississippi,5,-7.3,-10.6,-3.3,Conference USA
Temple,5,0.6,-2.8,-3.4,American Athletic
Central Michigan,5,3.5,0,-3.5,Mid-American
LSU,5,13,8.4,-4.6,SEC
Wyoming,4,16,11.25,-4.75,Mountain West
Miami,5,8.9,3.4,-5.5,ACC
Navy,4,-11,-16.5,-5.5,American Athletic
Washington State,5,3.7,-2,-5.7,Pac-12
Akron,5,-17.5,-23.8,-6.3,Mid-American
North Texas,4,-6.38,-12.75,-6.38,Conference USA
California,5,3.2,-3.4,-6.6,Pac-12
Texas A&M,5,17.6,10.8,-6.8,SEC
TCU,4,14.75,7.75,-7,Big 12
Tulane,6,0.25,-7.33,-7.58,American Athletic
Oklahoma,5,27.2,19.4,-7.8,Big 12
Ball State,5,-2.5,-10.4,-7.9,Mid-American
Texas State,4,-3.12,-11.75,-8.62,Sun Belt
Arkansas State,6,-7.67,-16.67,-9,Sun Belt
Utah,4,14.88,5.75,-9.12,Pac-12
Georgia State,5,-11.3,-20.6,-9.3,Sun Belt
Louisiana,3,6,-3.33,-9.33,Sun Belt
San José State,5,9,-0.4,-9.4,Mountain West
Florida International,4,-10.25,-20,-9.75,Conference USA
Kansas,5,-16.7,-26.6,-9.9,Big 12
Colorado,5,0,-10,-10,Pac-12
Arizona,4,-3.75,-14,-10.25,Pac-12
Florida State,5,4.5,-6.4,-10.9,ACC
Missouri,5,8.9,-2.2,-11.1,SEC
New Mexico,5,1.2,-10,-11.2,Mountain West
UCF,3,9.5,-2,-11.5,American Athletic
