team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Air Force,4,7.5,17,9.5,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,Mountain West
Akron,4,-25.38,-35,-9.62,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,Mid-American
Alabama,4,23.38,25.75,2.38,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,SEC
Appalachian State,4,4.62,10.5,5.88,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,Sun Belt
Arizona,3,-13.83,-18,-4.17,#002449,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,Pac-12
Arizona State,4,12.12,14.5,2.38,#942139,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,Pac-12
Arkansas,5,3.1,9.6,6.5,#9c1831,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,SEC
Arkansas State,5,-11.9,-23.8,-11.9,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,Sun Belt
Army,5,11.1,13.6,2.5,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,FBS Independents
Auburn,4,14.38,14.25,-0.12,#03244d,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,SEC
Ball State,4,-10.88,-15.5,-4.62,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,Mid-American
Baylor,4,4.88,9.25,4.38,#004834,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Big 12
Boise State,5,7,9.8,2.8,#09347A,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,Mountain West
Boston College,4,10.12,10.75,0.62,#88001a,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,ACC
Bowling Green,4,-24.62,-9.5,15.12,#2b1000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,Mid-American
Buffalo,4,-5.38,-8.5,-3.12,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,Mid-American
BYU,5,7,9.8,2.8,#001E4C,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,FBS Independents
California,4,-2.12,-7.25,-5.12,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,Pac-12
Central Michigan,4,-5,-11.25,-6.25,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,Mid-American
Charlotte,4,-4.75,-3.75,1,#cfab7a,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,Conference USA
Cincinnati,3,9.5,20,10.5,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,American Athletic
Clemson,4,13.75,-0.25,-14,#F66733,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,ACC
Coastal Carolina,5,26.1,33,6.9,#007073,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Sun Belt
