NAME,GEOID,variable,estimate
"Hidalgo County, New Mexico",35023,POP,4198
"Hudson County, New Jersey",34017,POP,672391
"Hunterdon County, New Jersey",34019,POP,124371
"Morris County, New Jersey",34027,POP,491845
"McKinley County, New Mexico",35031,POP,71367
"Sandoval County, New Mexico",35043,POP,146748
"Grant County, New Mexico",35017,POP,26998
"Curry County, New Mexico",35009,POP,48954
"Eddy County, New Mexico",35015,POP,58460
"Mora County, New Mexico",35033,POP,4521
"San Juan County, New Mexico",35045,POP,123958
"Benton County, Mississippi",28009,POP,8259
"Franklin County, Mississippi",28037,POP,7713
"Coahoma County, Mississippi",28027,POP,22124
"Jasper County, Mississippi",28061,POP,16383
"Jones County, Mississippi",28067,POP,68098
"Walthall County, Mississippi",28147,POP,14286
"Monroe County, Mississippi",28095,POP,35252
"Pontotoc County, Mississippi",28115,POP,32174
"Holmes County, Mississippi",28051,POP,17010
"Amite County, Mississippi",28005,POP,12297
"Madison County, Mississippi",28089,POP,106272
"Calhoun County, Mississippi",28013,POP,14361
"Marion County, Mississippi",28091,POP,24573
"Tishomingo County, Mississippi",28141,POP,19383
"Wayne County, Mississippi",28153,POP,20183
"Greene County, Mississippi",28041,POP,13586
"Marshall County, Mississippi",28093,POP,35294
"Quitman County, Mississippi",28119,POP,6792
"Pearl River County, Mississippi",28109,POP,55535
"Leake County, Mississippi",28079,POP,22786
"Neshoba County, Mississippi",28099,POP,29118
"Rankin County, Mississippi",28121,POP,155271
"Washington County, Mississippi",28151,POP,43909
"Lawrence County, Mississippi",28077,POP,12586
"Perry County, Mississippi",28111,POP,11973
"Chickasaw County, Mississippi",28017,POP,17103
"Carroll County, Mississippi",28015,POP,9947
"George County, Mississippi",28039,POP,24500
"Grenada County, Mississippi",28043,POP,20758
"Jefferson County, Mississippi",28063,POP,6990
"Newton County, Mississippi",28101,POP,21018
"Prentiss County, Mississippi",28117,POP,25126
"Sharkey County, Mississippi",28125,POP,4321
"Choctaw County, Mississippi",28019,POP,8210
"Hancock County, Mississippi",28045,POP,47632
"Itawamba County, Mississippi",28057,POP,23390
"Issaquena County, Mississippi",28055,POP,1327
"Jackson County, Mississippi",28059,POP,143617
"Leflore County, Mississippi",28083,POP,28183
"Tunica County, Mississippi",28143,POP,9632
"Claiborne County, Mississippi",28021,POP,8988
"Harrison County, Mississippi",28047,POP,208080
"Lauderdale County, Mississippi",28075,POP,74125
"Lincoln County, Mississippi",28085,POP,34153
"Simpson County, Mississippi",28127,POP,26658
"Winston County, Mississippi",28159,POP,17955
"Attala County, Mississippi",28007,POP,18174
"Hardin County, Ohio",39065,POP,31365
"Auglaize County, Ohio",39011,POP,45656
"Darke County, Ohio",39037,POP,51113
"Ottawa County, Ohio",39123,POP,40525
"Jackson County, Ohio",39079,POP,32413
"Huron County, Ohio",39077,POP,58266
"Athens County, Ohio",39009,POP,65327
"Adams County, Ohio",39001,POP,27698
"Medina County, Ohio",39103,POP,179746
"Lucas County, Ohio",39095,POP,428348
"Noble County, Ohio",39121,POP,14424
"Seneca County, Ohio",39147,POP,55178
"Stark County, Ohio",39151,POP,370606
"Coshocton County, Ohio",39031,POP,36600
"Delaware County, Ohio",39041,POP,209177
"Geauga County, Ohio",39055,POP,93649
"Hocking County, Ohio",39073,POP,28264
"Lake County, Ohio",39085,POP,230149
"Ross County, Ohio",39141,POP,76666
