Celebrity,Appearances,Record,Win Pct,Last Appearance
Charles Barkley,6,22–18,0.55,14-Dec-19
Kenny Chesney,3,15–11,0.556,27-Sep-14
Eric Church,3,21–13,0.618,14-Sep-19
Mark Cuban,3,14–15,0.483,9-Oct-21
Eddie George,3,20–12,0.625,28-Aug-21
Keegan-Michael Key,3,24–13,0.649,29-Sep-18
Roger Staubach,3,4–3,0.571,12-Dec-15
The Chainsmokers,2,13–10,0.565,13-Oct-18
Nathan Followill,2,7–12,0.368,27-Oct-12
Bo Jackson,2,11–2,0.846,31-Aug-19
Lane Kiffin,2,8–3,0.727,2-Jan-12
Joel McHale,2,12–8,0.6,12-Dec-20
Bill Murray,2,6–8,0.429,17-Sep-20
Joe Namath,2,12–6,0.667,28-Nov-20
Jack Nicklaus,2,10–7,0.588,14-Nov-20
Brad Paisley,2,12–6,0.667,5-Sep-15
Willie Robertson,2,7–12,0.368,25-Oct-14
Alex Rodriguez,2,20–4,0.833,10-Oct-20
Steve Spurrier,2,10–11,0.476,24-Sep-16
Eric Stonestreet,2,7–11,0.389,31-Aug-13
Vince Vaughn,2,12–7,0.632,24-Oct-20
Laila Ali,1,5–4,0.556,17-Sep-16
Lance Armstrong,1,8–2,0.8,19-Sep-09
Stone Cold Steve Austin,1,5–4,0.556,30-Aug-14
Bob Baffert,1,7–3,0.7,26-Sep-15
Saquon Barkley,1,6–6,0.5,18-Sep-21
Amanda Beard,1,4–6,0.4,21-Nov-09
Matt Birk,1,5–5,0.5,22-Nov-14
Dierks Bentley,1,4–4,0.5,24-Oct-15
Drew Bledsoe,1,11–3,0.786,10-Oct-18
Big Boi,1,8–1,0.889,6-Sep-10
Brian Bosworth,1,5–6,0.455,11-Sep-10
Bobby Bowden,1,7–2,0.778,11-Sep-10
Drew Brees,1,5–6,0.455,10-Oct-09
Alex Bregman,1,7–6,0.538,3-Nov-18
Kane Brown,1,8–3,0.727,4-Sep-21
Tedy Bruschi,1,6–3,0.667,3-Oct-09
Luke Bryan,1,9–3,0.75,1-Sep-18
Ty Burrell,1,2–3,0.4,6-Nov-10
Frank Caliendo,1,8–2,0.8,29-Oct-16
Luther Campbell,1,5–4,0.556,2-Dec-17
Jim Cantore,1,5–3,0.625,3-Oct-15
Ricky Carmichael,1,2–5,0.286,22-Sep-12
Ki-Jana Carter,1,8–1,0.889,10-Oct-17
Joey Chestnut,1,5–1,0.833,7-Dec-13
Dallas Clark,1,2–5,0.286,5-Dec-15
Chase Claypool,1,8–2,0.8,7-Nov-20
Mateen Cleaves,1,0–1,0,22-Oct-11
Alice Cooper,1,8–3,0.727,8-Nov-14
Eric Decker,1,6–5,0.545,30-Nov-19
Mike Ditka,1,8–2,0.8,20-Nov-10
