School,Appearances,Hosted,Record,Win Pct,Last hosted
Alabama,50,16,33–17,.660,"November 28, 2020"
Ohio State,50,19,35–15,.700,"November 23, 2019"
Florida,41,13,26–15,.634,"October 5, 2019"
Oklahoma,39,8,26–13,.667,"November 21, 2020"
Florida State,35,11,17–18,.486,"October 18, 2014"
LSU,33,13,21–12,.636,"October 12, 2019"
Notre Dame,33,10,15–18,.455,"November 7, 2020"
Michigan,33,12,16–17,.485,"October 13, 2018"
Clemson,29,6,18–11,.621,"October 10, 2020"
Georgia,28,7,11–17,.393,"October 16, 2021"
Oregon,27,10,16–11,.593,"September 22, 2018"
USC,24,10,18–6,.750,"November 16, 2013"
Miami,24,8,15–9,.625,"September 26, 2020"
Penn State,23,9,9–14,.391,"September 18, 2021"
Auburn,23,9,10–13,.435,"November 25, 2017"
Tennessee,21,9,10–11,.476,"September 24, 2016"
Wisconsin,20,8,7–13,.350,"November 18, 2017"
Texas,18,7,10–8,.556,"September 7, 2019"
Nebraska,17,7,9–8,.529,"September 28, 2019"
Michigan State,15,8,9–6,.600,"October 30, 2021"
Virginia Tech,14,6,4–10,.286,"September 30, 2017"
Stanford,11,1,6–5,.545,"November 12, 2011"
Army,10,2,4–6,.400,"December 12, 2020"
Oklahoma State,9,6,1–8,.111,"November 4, 2017"
Iowa,9,2,3–6,.333,"September 30, 2006"
UCLA,9,2,3–6,.333,"October 23, 2021"
Navy,8,1,3–5,.375,"December 14, 2019"
South Carolina,8,7,3–5,.375,"September 27, 2014"
Texas A&M,8,6,1–7,.125,"September 8, 2018"
TCU,7,3,6–1,.857,"September 15, 2018"
Washington,7,2,1–6,.143,"November 12, 2016"
Colorado,6,3,2–4,.333,"September 14, 1996"
Kansas State,6,2,1–5,.167,"October 14, 2000"
Missouri,6,1,3–3,.500,"October 23, 2010"
Georgia Tech,5,2,0–5,.000,"September 2, 2006"
Louisville,5,3,2–3,.400,"September 19, 2020"
Utah,5,4,2–3,.400,"October 29, 2016"
Air Force,3,3,2–1,.667,"November 7, 2009"
Baylor,4,3,1–3,.250,"November 16, 2019"
Texas Tech,4,1,1–3,.250,"November 1, 2008"
West Virginia,4,2,1–3,.250,"November 1, 2014"
Arizona,3,2,0–3,.000,"September 26, 2015"
Arizona State,3,1,0–3,.000,"October 1, 2005"
Arkansas,3,1,1–2,.333,"November 11, 2006"
Boston College,3,3,1–2,.333,"November 10, 2018"
BYU,3,1,0–3,.000,"October 24, 2009"
California,3,0,1–2,.333,N/A
North Dakota State,3,2,3–0,1.000,"September 13, 2014"
Northwestern,3,2,1–2,.333,"October 5, 2013"
Ole Miss,3,1,2–1,.667,"October 4, 2014"
Oregon State,3,1,0–3,.000,"December 4, 2010"
Purdue,3,1,1–2,.333,"October 16, 2004"
Washington State,3,1,1–2,.333,"October 20, 2018"
Harvard,2,1,1–1,.500,"November 22, 2014"
Illinois,2,0,1–1,.500,N/A
James Madison,2,2,1–1,.500,"October 14, 2017"
Kentucky,2,1,0–2,.000,"October 20, 2007"
North Carolina,2,1,0–2,.000,"November 8, 1997"
Mississippi State,2,1,1–1,.500,"October 11, 2014"
Pittsburgh,2,2,1–1,.500,"September 3, 2005"
SMU,2,0,0–2,.000,N/A
Syracuse,2,0,0–2,.000,N/A
UCF,2,1,1–1,.500,"November 17, 2018"
Minnesota,2,2,0–2,.000,"October 24, 2020"
Iowa State,2,2,0–2,.000,"September 11, 2021"
Boise State,1,1,1–0,1.000,"September 25, 2010"
Bowling Green,1,1,1–0,1.000,"October 25, 2003"
Coastal Carolina,1,1,1–0,1.000,"December 5, 2020"
Florida A&M,1,1,1–0,1.000,"November 15, 2008"
Houston,1,1,1–0,1.000,"November 19, 2011"
Indiana,1,1,0–1,.000,"August 31, 2017"
Memphis,1,1,1–0,1.000,"November 2, 2019"
NC State,1,1,0–1,.000,"October 23, 2004"
Temple,1,1,0–1,.000,"October 31, 2015"
Penn,1,1,1–0,1.000,"November 16, 2002"
South Dakota State,1,1,0–1,.000,"October 26, 2019"
Vanderbilt,1,1,1–0,1.000,"October 4, 2008"
Wake Forest,1,1,0–1,.000,"September 12, 2020"
Western Michigan,1,1,1–0,1.000,"November 19, 2016"
Williams,1,1,1–0,1.000,"November 10, 2007"
Alcorn State,1,0,0–1,.000,N/A
Amherst,1,0,0–1,.000,N/A
Buffalo,1,0,0–1,.000,N/A
Cincinnati,1,0,0–1,.000,N/A
Delaware State,1,0,0–1,.000,N/A
East Carolina,1,0,0–1,.000,N/A
Grambling State,1,0,1–0,1.000,N/A
Hampton,1,0,0–1,.000,N/A
Incarnate Word,1,0,0–1,.000,N/A
Kansas,1,0,0–1,.000,N/A
North Carolina Central,1,0,1–0,1.000,N/A
Northern Illinois,1,0,0–1,.000,N/A
Richmond,1,0,1–0,1.000,N/A
South Florida,1,0,1–0,1.000,N/A
Southern,1,0,0–1,.000,N/A
Troy,1,0,1–0,1.000,N/A
Villanova,1,0,0–1,.000,N/A
Yale,1,0,0–1,.000,N/A
