team,color,color2
Abilene Christian,#4e2683,#ebebeb
Air Force,#004a7b,#ffffff
Akron,#00285e,#84754e
Alabama A&M,#790000,#ffffff
Alabama,#690014,#f1f2f3
Alabama State,#e9a900,#0a0a0a
Albany,#3D2777,#ffffff
Alcorn State,#4b0058,#46166a
American,#c41130,#c8102e
Appalachian State,#000000,#ffcd00
Arizona State,#942139,#f1f2f3
Arizona,#002449,#00205b
Arkansas,#9c1831,#000000
Arkansas State,#e81018,#000000
Arkansas-Pine Bluff,#e0aa0f,#eaaa00
Army,#ce9c00,#231f20
Auburn,#03244d,#f1f2f3
Austin Peay,#8e0b0b,#000000
BYU,#001E4C,#ffffff
Ball State,#DA0000,#ffffff
Baylor,#004834,#ffb81c
Bellarmine,#000000,#000000
Belmont,#182142,#c9262d
Binghamton,#00614A,#f0f0f0
Boise State,#09347A,#d8d9da
Boston College,#88001a,#a39161
Boston University,#cc0000,#ffffff
Bowling Green,#2b1000,#492000
Bradley,#b70002,#c0c0c0
Brown,#411e09,#949300
Bryant,#000000,#9f8343
Bucknell,#000060,#00316e
Buffalo,#041A9B,#ebebeb
Butler,#0d1361,#00a3e0
CSU Bakersfield,#003BAB,#000000
CSU Fullerton,#10219c,#003057
CSU Northridge,#b50000,#000000
Cal Poly,#1E4D2B,#eed897
California Baptist,#000080,#000000
California,#031522,#ffc423
Campbell,#000000,#000000
Canisius,#004a81,#dda50f
Central Arkansas,#a7a9ac,#8e959a
Central Connecticut,#1B49A2,#d1d5d8
Central Michigan,#6a0032,#ffffff
Charleston,#9c8456,#e4e2dd
Charleston Southern,#2e3192,#ded090
Charlotte,#ffffff,#cfab7a
Chattanooga,#00386b,#dca71d
Chicago State,#006700,#000000
Cincinnati,#000000,#717073
Clemson,#F66733,#522d80
Cleveland State,#006633,#231f20
Coastal Carolina,#007073,#876447
Colgate,#8B011D,#231f20
Colorado,#d1c57e,#ffd200
Colorado State,#004537,#ffc425
Columbia,#174785,#004b85
Coppin State,#2e3192,#ffd204
Cornell,#d60027,#101010
Creighton,#13299e,#00235d
Dartmouth,#005730,#000000
Davidson,#000000,#e51837
Dayton,#004B8D,#ffffff
DePaul,#2d649c,#ce1125
Delaware,#033594,#e8ce31
Delaware State,#FF3630,#009cdd
Denver,#9c143d,#d6ba74
Detroit Mercy,#165b9e,#d31733
Dixie State,#000000,#000000
Drake,#004477,#c0c0c0
Drexel,#020260,#ffd65a
Duke,#001A57,#f1f2f3
Duquesne,#002D62,#b90b2e
East Carolina,#4b1869,#f0907b
East Tennessee State,#002d61,#ffc423
Eastern Illinois,#000000,#bebab9
Eastern Kentucky,#660819,#f0f0f0
Eastern Michigan,#00331b,#f0f0f0
Eastern Washington,#a10022,#abb4bc
Elon,#020303,#b59a57
Evansville,#663399,#ef6f00
Fairfield,#000000,#ebebeb
Fairleigh Dickinson,#00449C,#a80532
Florida A&M,#F89728,#00843d
Florida Atlantic,#004B85,#bb2f4c
Florida,#0021A5,#0021a5
Florida Gulf Coast,#00885a,#076c3b
Florida International,#091731,#c5960c
Florida State,#782F40,#ceb888
Fordham,#830032,#909090
Fresno State,#c41230,#231f20
Furman,#4A2184,#909090
Gardner-Webb,#c12535,#909090
George Mason,#016600,#ecb010
George Washington,#002843,#e8d2a1
Georgetown,#110E42,#001c58
Georgia,#CC0000,#000000
Georgia Southern,#003775,#f0f0f0
Georgia State,#1e539a,#ebebeb
Georgia Tech,#00223e,#002c56
Gonzaga,#002967,#cfd4d8
Grambling,#ee8601,#ffd10a
Grand Canyon,#522398,#f0f0f0
Green Bay,#006633,#b21038
Hampton,#0067AC,#000000
Hartford,#d60008,#000000
Harvard,#990000,#dbdbdb
Hawai'i,#003420,#ffffff
High Point,#b0b7bc,#ebebeb
Hofstra,#00337c,#f6c934
Holy Cross,#0a0a0a,#080808
Houston Baptist,#00539c,#000000
Houston,#C90822,#231f20
Howard,#9e0b0e,#6b818d
IUPUI,#A81F30,#d59f0f
Idaho State,#ef8c00,#e9a126
Idaho,#000000,#8c6e4a
Illinois,#f77329,#fa6300
Illinois State,#CE1126,#ffe716
Incarnate Word,#000000,#080808
Indiana,#7D110C,#eeedeb
Indiana State,#00669a,#f0f0f0
Iona,#8c001a,#f6a704
Iowa,#000000,#ffe100
Iowa State,#660015,#830b2c
Jackson State,#123297,#b5b7ba
Jacksonville,#00523e,#000000
Jacksonville State,#b50500,#b5b7ba
James Madison,#450084,#cbb778
Kansas,#0022B4,#e8000d
Kansas State,#633194,#e7d2ad
Kennesaw State,#000000,#fdbb30
Kent State,#002445,#f0b510
Kentucky,#005DAA,#ffffff
LSU,#2B0D57,#fdd023
La Salle,#000063,#feca26
Lafayette,#790000,#a59474
Lamar,#000000,#ebebeb
Lehigh,#6c2b2a,#b69e70
Liberty,#071740,#a61f21
Lipscomb,#20366C,#f6b734
Little Rock,#AD0000,#898d8f
Long Beach State,#000000,#f1f2f3
Long Island University,#50c9f7,#ffbf00
Longwood,#003273,#9ea2a3
Louisiana,#ce2842,#000000
