week,season_type,season
1,regular,2000
2,regular,2000
3,regular,2000
4,regular,2000
5,regular,2000
6,regular,2000
7,regular,2000
8,regular,2000
9,regular,2000
10,regular,2000
11,regular,2000
12,regular,2000
13,regular,2000
14,regular,2000
15,regular,2000
16,regular,2000
1,postseason,2000
1,regular,2001
2,regular,2001
3,regular,2001
6,regular,2001
7,regular,2001
8,regular,2001
10,regular,2001
11,regular,2001
12,regular,2001
13,regular,2001
14,regular,2001
15,regular,2001
16,regular,2001
1,postseason,2001
1,regular,2002
2,regular,2002
3,regular,2002
4,regular,2002
5,regular,2002
6,regular,2002
7,regular,2002
8,regular,2002
9,regular,2002
10,regular,2002
11,regular,2002
12,regular,2002
13,regular,2002
14,regular,2002
15,regular,2002
16,regular,2002
1,postseason,2002
1,regular,2003
2,regular,2003
3,regular,2003
4,regular,2003
5,regular,2003
6,regular,2003
7,regular,2003
8,regular,2003
9,regular,2003
10,regular,2003
11,regular,2003
12,regular,2003
13,regular,2003
14,regular,2003
15,regular,2003
16,regular,2003
1,postseason,2003
1,regular,2004
2,regular,2004
3,regular,2004
4,regular,2004
5,regular,2004
6,regular,2004
7,regular,2004
8,regular,2004
9,regular,2004
10,regular,2004
11,regular,2004
12,regular,2004
13,regular,2004
14,regular,2004
15,regular,2004
1,postseason,2004
1,regular,2005
2,regular,2005
3,regular,2005
4,regular,2005
5,regular,2005
6,regular,2005
7,regular,2005
8,regular,2005
9,regular,2005
10,regular,2005
11,regular,2005
12,regular,2005
13,regular,2005
14,regular,2005
1,postseason,2005
1,regular,2006
2,regular,2006
3,regular,2006
4,regular,2006
5,regular,2006
6,regular,2006
7,regular,2006
8,regular,2006
9,regular,2006
10,regular,2006
11,regular,2006
12,regular,2006
13,regular,2006
14,regular,2006
1,postseason,2006
1,regular,2007
2,regular,2007
3,regular,2007
4,regular,2007
5,regular,2007
6,regular,2007
7,regular,2007
8,regular,2007
9,regular,2007
10,regular,2007
11,regular,2007
12,regular,2007
13,regular,2007
14,regular,2007
1,postseason,2007
1,regular,2008
2,regular,2008
3,regular,2008
4,regular,2008
5,regular,2008
6,regular,2008
7,regular,2008
8,regular,2008
9,regular,2008
10,regular,2008
11,regular,2008
12,regular,2008
13,regular,2008
14,regular,2008
15,regular,2008
1,postseason,2008
1,regular,2009
2,regular,2009
3,regular,2009
4,regular,2009
5,regular,2009
6,regular,2009
7,regular,2009
8,regular,2009
9,regular,2009
10,regular,2009
11,regular,2009
12,regular,2009
13,regular,2009
14,regular,2009
15,regular,2009
1,postseason,2009
1,regular,2010
2,regular,2010
3,regular,2010
4,regular,2010
5,regular,2010
6,regular,2010
7,regular,2010
8,regular,2010
9,regular,2010
10,regular,2010
11,regular,2010
12,regular,2010
13,regular,2010
14,regular,2010
15,regular,2010
1,postseason,2010
1,regular,2011
2,regular,2011
3,regular,2011
4,regular,2011
5,regular,2011
6,regular,2011
7,regular,2011
8,regular,2011
9,regular,2011
10,regular,2011
11,regular,2011
12,regular,2011
13,regular,2011
14,regular,2011
15,regular,2011
1,postseason,2011
1,regular,2012
2,regular,2012
3,regular,2012
4,regular,2012
5,regular,2012
6,regular,2012
7,regular,2012
8,regular,2012
9,regular,2012
10,regular,2012
11,regular,2012
12,regular,2012
13,regular,2012
14,regular,2012
15,regular,2012
1,postseason,2012
1,regular,2013
2,regular,2013
3,regular,2013
4,regular,2013
5,regular,2013
6,regular,2013
7,regular,2013
8,regular,2013
9,regular,2013
10,regular,2013
11,regular,2013
12,regular,2013
13,regular,2013
14,regular,2013
15,regular,2013
16,regular,2013
1,postseason,2013
1,regular,2014
2,regular,2014
3,regular,2014
4,regular,2014
5,regular,2014
6,regular,2014
7,regular,2014
8,regular,2014
9,regular,2014
10,regular,2014
11,regular,2014
12,regular,2014
13,regular,2014
14,regular,2014
15,regular,2014
16,regular,2014
1,postseason,2014
1,regular,2015
2,regular,2015
3,regular,2015
4,regular,2015
5,regular,2015
6,regular,2015
7,regular,2015
8,regular,2015
9,regular,2015
10,regular,2015
11,regular,2015
12,regular,2015
13,regular,2015
14,regular,2015
15,regular,2015
1,postseason,2015
1,regular,2016
2,regular,2016
3,regular,2016
4,regular,2016
5,regular,2016
6,regular,2016
7,regular,2016
8,regular,2016
9,regular,2016
10,regular,2016
11,regular,2016
12,regular,2016
13,regular,2016
14,regular,2016
15,regular,2016
1,postseason,2016
1,regular,2017
2,regular,2017
3,regular,2017
4,regular,2017
5,regular,2017
6,regular,2017
7,regular,2017
8,regular,2017
9,regular,2017
10,regular,2017
11,regular,2017
12,regular,2017
13,regular,2017
14,regular,2017
15,regular,2017
1,postseason,2017
1,regular,2018
2,regular,2018
3,regular,2018
4,regular,2018
5,regular,2018
6,regular,2018
7,regular,2018
8,regular,2018
9,regular,2018
10,regular,2018
11,regular,2018
12,regular,2018
13,regular,2018
14,regular,2018
15,regular,2018
1,postseason,2018
1,regular,2019
2,regular,2019
3,regular,2019
4,regular,2019
5,regular,2019
6,regular,2019
7,regular,2019
8,regular,2019
9,regular,2019
10,regular,2019
11,regular,2019
12,regular,2019
13,regular,2019
14,regular,2019
15,regular,2019
16,regular,2019
1,postseason,2019
1,regular,2020
3,regular,2020
4,regular,2020
5,regular,2020
6,regular,2020
7,regular,2020
8,regular,2020
9,regular,2020
10,regular,2020
11,regular,2020
12,regular,2020
13,regular,2020
14,regular,2020
15,regular,2020
16,regular,2020
1,postseason,2020
