team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Hawai'i,62,Rainbow Warriors,Hawai'i,HAW,Hawai'i Rainbow Warriors,Hawai'i,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png,-157.85913,21.31026,Big West Conference[j]
Oregon State,204,Beavers,Oregon State,ORST,Oregon State Beavers,Oregon State,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png,-123.27871,44.56311,Pac-12 Conference
Oregon,2483,Ducks,Oregon,ORE,Oregon Ducks,Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png,-123.07046,44.04598,Pac-12 Conference
Portland,2501,Pilots,Portland,PORT,Portland Pilots,Portland,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2501.png,-122.67621,45.52345,West Coast Conference
Portland State,2502,Vikings,Portland State,PRST,Portland State Vikings,Portland State,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2502.png,-122.67621,45.52345,Big Sky Conference
San Francisco,2539,Dons,San Francisco,SF,San Francisco Dons,San Francisco,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2539.png,-122.44826,37.78607,West Coast Conference
Seattle,2547,Redhawks,Seattle U,SEA,Seattle U Redhawks,Seattle U,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2547.png,-122.31256,47.65655,Western Athletic Conference
Washington,264,Huskies,Washington,WASH,Washington Huskies,Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png,-122.31256,47.65655,Pac-12 Conference
California,25,Golden Bears,California,CAL,California Golden Bears,California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png,-122.25975,37.87215,Pac-12 Conference
Stanford,24,Cardinal,Stanford,STAN,Stanford Cardinal,Stanford,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png,-122.17024,37.42716,Pac-12 Conference
